DATE,PRODUCTION_WH
2015-10-01,
2015-10-02,
2015-10-03,
2015-10-04,
2015-10-05,
2015-10-06,
2015-10-07,525.0
2015-10-08,5617.0
2015-10-09,21530.0
2015-10-10,2363.0
2015-10-11,19377.0
2015-10-12,17856.0
2015-10-13,4088.0
2015-10-14,2638.0
2015-10-15,3931.0
2015-10-16,3262.0
2015-10-17,2559.0
2015-10-18,11218.0
2015-10-19,2969.0
2015-10-20,4560.0
2015-10-21,6523.0
2015-10-22,3194.0
2015-10-23,3896.0
2015-10-24,7853.0
2015-10-25,2564.0
2015-10-26,21119.0
2015-10-27,16705.0
2015-10-28,2911.0
2015-10-29,15931.0
2015-10-30,12568.0
2015-10-31,21212.0
2015-11-01,21308.0
2015-11-02,21737.0
2015-11-03,12309.0
2015-11-04,2663.0
2015-11-05,6674.0
2015-11-06,4574.0
2015-11-07,4020.0
2015-11-08,9717.0
2015-11-09,8762.0
2015-11-10,1746.0
2015-11-11,4110.0
2015-11-12,10410.0
2015-11-13,5603.0
2015-11-14,3370.0
2015-11-15,2599.0
2015-11-16,1363.0
2015-11-17,4757.0
2015-11-18,9463.0
2015-11-19,1592.0
2015-11-20,989.0
2015-11-21,4176.0
2015-11-22,4144.0
2015-11-23,9268.0
2015-11-24,1751.0
2015-11-25,5111.0
2015-11-26,13327.0
2015-11-27,4098.0
2015-11-28,14870.0
2015-11-29,1728.0
2015-11-30,1063.0
2015-12-01,641.0
2015-12-02,6168.0
2015-12-03,12874.0
2015-12-04,12456.0
2015-12-05,4727.0
2015-12-06,3653.0
2015-12-07,9173.0
2015-12-08,10070.0
2015-12-09,13343.0
2015-12-10,10112.0
2015-12-11,535.0
2015-12-12,2128.0
2015-12-13,573.0
2015-12-14,9911.0
2015-12-15,2680.0
2015-12-16,662.0
2015-12-17,7865.0
2015-12-18,2401.0
2015-12-19,3735.0
2015-12-20,4412.0
2015-12-21,5851.0
2015-12-22,2647.0
2015-12-23,5637.0
2015-12-24,4453.0
2015-12-25,446.0
2015-12-26,12243.0
2015-12-27,7142.0
2015-12-28,10658.0
2015-12-29,3091.0
2015-12-30,11904.0
2015-12-31,12182.0
2016-01-01,5816.0
2016-01-02,6531.0
2016-01-03,4498.0
2016-01-04,1881.0
2016-01-05,1237.0
2016-01-06,3337.0
2016-01-07,574.0
2016-01-08,13489.0
2016-01-09,5632.0
2016-01-10,12535.0
2016-01-11,2101.0
2016-01-12,5613.0
2016-01-13,5512.0
2016-01-14,3188.0
2016-01-15,241.0
2016-01-16,12812.0
2016-01-17,15415.0
2016-01-18,10899.0
2016-01-19,17730.0
2016-01-20,2927.0
2016-01-21,15106.0
2016-01-22,8137.0
2016-01-23,2461.0
2016-01-24,1149.0
2016-01-25,17123.0
2016-01-26,3521.0
2016-01-27,794.0
2016-01-28,12860.0
2016-01-29,2107.0
2016-01-30,643.0
2016-01-31,1896.0
2016-02-01,1835.0
2016-02-02,1359.0
2016-02-03,11980.0
2016-02-04,1576.0
2016-02-05,1630.0
2016-02-06,4500.0
2016-02-07,7522.0
2016-02-08,7319.0
2016-02-09,977.0
2016-02-10,2698.0
2016-02-11,7621.0
2016-02-12,19119.0
2016-02-13,2978.0
2016-02-14,2244.0
2016-02-15,17839.0
2016-02-16,24922.0
2016-02-17,23647.0
2016-02-18,9187.0
2016-02-19,20456.0
2016-02-20,2495.0
2016-02-21,1537.0
2016-02-22,1756.0
2016-02-23,6854.0
2016-02-24,24466.0
2016-02-25,18347.0
2016-02-26,5307.0
2016-02-27,25850.0
2016-02-28,25326.0
2016-02-29,26296.0
2016-03-01,5263.0
2016-03-02,17810.0
2016-03-03,7745.0
2016-03-04,4330.0
2016-03-05,7367.0
2016-03-06,7942.0
2016-03-07,4609.0
2016-03-08,11749.0
2016-03-09,15213.0
2016-03-10,29039.0
2016-03-11,26655.0
2016-03-12,19620.0
2016-03-13,30515.0
2016-03-14,20743.0
2016-03-15,25459.0
2016-03-16,25326.0
2016-03-17,32052.0
2016-03-18,7925.0
2016-03-19,3944.0
2016-03-20,6321.0
2016-03-21,7962.0
2016-03-22,16330.0
2016-03-23,6488.0
2016-03-24,7108.0
2016-03-25,6525.0
2016-03-26,25091.0
2016-03-27,20841.0
2016-03-28,15534.0
2016-03-29,17559.0
2016-03-30,15418.0
2016-03-31,6370.0
2016-04-01,28858.0
2016-04-02,10949.0
2016-04-03,24900.0
2016-04-04,17529.0
2016-04-05,8344.0
2016-04-06,15531.0
2016-04-07,24617.0
2016-04-08,24514.0
